uai;nom_etablissement;lattitude;ips;total_eleves_hors_segpa_ulis;total_eleves_segpa;total_eleves_ulis;pourcentage_filles
0593484S;Collège Emile Littré;50.30026003135326;82.3;642;31;12;45.24530467455295379100
0910859P;Collège Gérard Philipe;48.7349919080171;99.4;656;61;14;50.91698431299342851300
0710056A;Collège Jean Moulin;46.67345668102723;73.5;323;63;13;49.92032542740544662000
0090490J;Collège Louis Pasteur;42.923099607067826;94.0;211;0;12;48.89237912783764274900
9741208V;Collège Elie Wiesel du Chaudron;-20.89304067605612;73.8;459;0;14;51.90850473275761366300
0260029R;Collège Fernand Berthon;45.29177149390455;82.7;474;0;0;50.74682976331117607400
0950039B;Collège Le Parc;49.04077077189662;89.2;498;0;0;50.22738181261167153700
0400648M;Collège Victor Duruy;43.89753517334212;89.9;576;0;13;46.69073813373412695700
0080894D;Collège Salengro;49.75156084497803;66.2;286;60;0;45.55718375550967981400
0061211J;Collège Pablo Picasso;43.57938575103072;84.3;794;65;26;49.12613869206050420200
0410003F;Collège Blois-Bégon;47.59353384896432;72.5;506;57;0;51.23443411899032599000
9740596E;Collège Antoine Soubou;-21.0000851782693;80.5;597;26;0;52.47658894774770213100
0060085K;Collège international Joseph Vernier;43.706818605018846;86.5;607;0;0;47.24775334864571814600
0881146T;Collège Georges Clémenceau;48.17907491377789;106.9;631;58;23;44.51454769659834317500
0930043S;Collège Jean de Beaumont;48.88542864850317;95.5;535;0;0;50.69267216667080096500
0940006W;Collège Albert Schweitzer;48.773795233572585;88.3;578;61;12;47.20479902217603894900
7200624R;Collège Simon Vinciguerra;42.696171136237716;117.3;430;0;10;51.35476792079927571300
0593179K;Collège Claude Lévi-Strauss;50.63147124244808;83.9;463;0;6;46.84920886915285109400
0910859P;Collège Gérard Philipe;48.7349919080171;99.4;639;62;14;50.91698431299342851300
0640609P;Collège Albert Camus;43.499360089811226;83.7;483;46;12;47.61508103498047578300
0060840F;Collège Frédéric Mistral;43.67372499276318;83.9;686;58;24;47.46922934743515839000
0594290T;Collège Henri Matisse;50.457575681553536;82.9;276;35;0;47.54852535913989372500
0131605Z;Collège Henri Barnier;43.3649273775508;59.0;582;59;13;48.21744347350764291100
0941971G;Collège Dulcie September;48.80571341168841;99.8;694;60;0;45.93937190498641706500
0900018F;Collège Arthur Rimbaud;47.64083530643682;97.1;488;0;11;48.48280311054594978100
0490048L;Collège Jean Rostand;47.44934443235111;89.4;497;62;0;47.10702548718814093700
0931206F;Collège Jean Vilar;48.95284036866517;72.7;542;0;14;52.95599835634610086100
9740576H;Collège les Tamarins;-21.3377742060901;76.3;419;0;12;41.95180177104261125200
0451421A;Collège Jean Pelletier;47.923000396763996;89.5;629;0;0;50.96366264001702357300
0240037K;Collège Jules Ferry;45.130978379203704;92.8;525;32;12;52.05547078475045030500
0623919Y;Collège Léonard de Vinci;50.4968304789591;88.5;485;0;0;50.23210200517250279300
0932579Y;Collège Césaria Evora;48.8665853173967;92.2;475;0;13;46.20041266202613454800
0271095U;Collège Georges Politzer;49.00612917964285;84.3;550;65;12;46.38333090594321658800
9730483M;Collège Joseph Ho Ten You;5.171398756618388;84.3;424;0;29;53.56668707963217689800
0380050Y;Collège de l'Edit;45.36835492126682;79.3;596;0;14;48.93082761923557419600
